Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2017,06,21,1 Gol(s),0,0,Rússia,CC,Portugal,0-1,Vitória
2017,06,18,1 Assist.,0,0,México,CC,Portugal,2-2,Empate
2017,06,09,2 Gol(s) / 1 Assist.,0,0,Letônia,Eliminatórias da Copa do Mundo,Portugal,0-3,Vitória
2017,06,03,2 Gol(s),0,0,Juventus,Champions League,Real Madrid,1-4,Vitória
2017,05,21,1 Gol(s),0,0,Málaga,La Liga (Espanha),Real Madrid,0-2,Vitória
2017,05,17,2 Gol(s),0,0,Celta de Vigo,La Liga (Espanha),Real Madrid,1-4,Vitória
2017,05,14,2 Gol(s),0,0,Sevilla,La Liga (Espanha),Real Madrid,4-1,Vitória
2017,05,10,Nenhuma,0,0,Atlético de Madrid,Champions League,Real Madrid,2-1,Derrota
2017,05,02,3 Gol(s),0,0,Atlético de Madrid,Champions League,Real Madrid,3-0,Vitória
2017,04,29,1 Gol(s),0,0,Valencia,La Liga (Espanha),Real Madrid,2-1,Vitória
2017,04,23,Nenhuma,0,0,Barcelona,La Liga (Espanha),Real Madrid,2-3,Derrota
2017,04,18,3 Gol(s),0,0,Bayern München,Champions League,Real Madrid,4-2(a.p.),N/A
2017,04,12,2 Gol(s),0,0,Bayern München,Champions League,Real Madrid,1-2,Vitória
2017,04,08,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,1-1,Empate
2017,04,02,1 Assist.,0,0,Alavés,La Liga (Espanha),Real Madrid,3-0,Vitória
2017,03,28,1 Gol(s),0,0,Suécia,Amistosos da Seleção,Portugal,2-3,Derrota
2017,03,25,2 Gol(s),0,0,Hungria,Eliminatórias da Copa do Mundo,Portugal,3-0,Vitória
2017,03,18,2 Assist.,0,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,1-2,Vitória
2017,03,12,1 Gol(s),0,0,Real Betis,La Liga (Espanha),Real Madrid,2-1,Vitória
2017,03,07,Nenhuma,0,0,Napoli,Champions League,Real Madrid,1-3,Vitória
2017,03,01,2 Gol(s),1,0,Las Palmas,La Liga (Espanha),Real Madrid,3-3,Empate
2017,02,26,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Real Madrid,2-3,Vitória
