AIS;DATA;HORA;MUNICÍPIO;VÍTIMA GÊNERO;VÍTIMA IDADE
AIS 18;2009-10-13;20:00:00;Russas;Feminino;13
AIS 14;2009-10-18;20:30:00;Forquilha;Feminino;17
AIS 09;2009-10-19;10:04:47;Fortaleza;Feminino;15
AIS 19;2009-10-19;20:30:00;Missão Velha;Feminino;7
AIS 13;2009-10-20;15:00:54;Aquiraz;Feminino;5
AIS 06;2009-10-20;15:45:06;Fortaleza;Feminino;10
AIS 06;2009-10-20;15:45:06;Fortaleza;Feminino;9
AIS 06;2009-10-20;15:45:06;Fortaleza;Feminino;7
AIS 04;2009-10-21;05:00:00;Fortaleza;Feminino;16
AIS 09;2009-10-22;15:00:00;Fortaleza;Feminino;12
AIS 14;2009-10-24;14:00:20;Massapê;Feminino;16
AIS 03;2009-10-26;04:00:00;Fortaleza;Feminino;2
AIS 24;2009-10-27;09:47:21;Pacatuba;Feminino;17
AIS 16;2009-10-27;19:30:14;Reriutaba;Feminino;16
AIS 18;2009-10-28;07:30:00;Russas;Feminino;5
AIS 25;2009-10-28;15:52:20;Horizonte;Feminino;10
AIS 02;2009-10-28;17:05:27;Fortaleza;Feminino;13
AIS 25;2009-10-29;08:00:40;Horizonte;Feminino;12
AIS 05;2009-10-29;11:00:20;Fortaleza;Masculino;6
AIS 25;2009-10-29;15:00:00;Horizonte;Feminino;13
AIS 25;2009-10-29;15:00:00;Horizonte;Feminino;12
AIS 02;2009-10-30;16:11:58;Fortaleza;Feminino;11
AIS 06;2009-10-31;09:00:00;Fortaleza;Masculino;14
AIS 10;2009-11-01;11:53:00;Fortaleza;Feminino;2
AIS 03;2009-11-03;19:00:14;Fortaleza;Feminino;14
AIS 07;2009-11-04;10:30:00;Fortaleza;Feminino;11
AIS 19;2009-11-04;12:00:00;Juazeiro do Norte;Feminino;17
AIS 17;2009-11-04;16:15:06;Jijoca de Jericoacoara;Feminino;13
AIS Não Identificada (Fortaleza);2009-11-04;20:30:00;Fortaleza;Feminino;14
AIS Não Identificada (Fortaleza);2009-11-04;20:30:00;Fortaleza;Feminino;14
AIS 05;2009-11-05;11:41:26;Fortaleza;Feminino;15
AIS 05;2009-11-05;11:41:26;Fortaleza;Masculino;9
